model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
Prophet,item,weekly,19366431,4,23,4,4.095516550152163,4.153380153713499,146.5287214769183,171.1423631571443
Naive,item,weekly,19584524,4,18,4,4.25,4.5,173.73737373737373,114.58333333333333
SeasonalNaive,item,weekly,19584524,4,18,4,3.75,5.722761571129799,100.0,200.0
AutoARIMA,item,weekly,19584524,4,18,4,3.9323270320892334,4.621695910550542,125.87345104024867,114.63794944457631
AutoETS,item,weekly,19584524,4,18,4,5.879150390625,6.190551005599557,252.9128166160198,123.97479410479377
Prophet,item,weekly,19584524,4,18,4,3.4053072206888793,4.610816188946366,88.58566932421472,108.8904085440966
Naive,item,weekly,24906190,4,18,4,2.0,2.7386127875258306,71.875,54.87012987012987
SeasonalNaive,item,weekly,24906190,4,18,4,3.75,4.716990566028302,75.0,150.0
AutoARIMA,item,weekly,24906190,4,18,4,2.319638729095459,2.6929702090355416,129.87426072359085,58.924285911316254
AutoETS,item,weekly,24906190,4,18,4,2.318057060241699,2.7008157027753055,128.90411466360092,58.81975654777746
Prophet,item,weekly,24906190,4,18,4,2.3242796084924624,2.7047014940319922,129.39452679537703,58.923068792841484
Naive,item,weekly,30847962,4,23,4,14.25,15.46770829825802,213.85416666666669,66.03970741901777
SeasonalNaive,item,weekly,30847962,4,23,4,19.25,20.573040611440984,258.125,85.34515593339123
AutoARIMA,item,weekly,30847962,4,23,4,15.663042068481445,16.21049698196646,196.0439369082451,73.17117675646695
AutoETS,item,weekly,30847962,4,23,4,15.66002082824707,16.20841942039451,196.08202914396924,73.15535486689093
Prophet,item,weekly,30847962,4,23,4,16.229017668559003,16.608352824356906,186.83212294303178,76.34126169268104
Naive,item,weekly,36151983,4,15,4,0.75,0.8660254037844386,0.0,150.0
SeasonalNaive,item,weekly,36151983,4,15,4,0.25,0.5,100.0,200.0
AutoARIMA,item,weekly,36151983,4,15,4,1.1742970943450928,1.2170986823803474,64.60752487182617,162.20817981331436
AutoETS,item,weekly,36151983,4,15,4,1.33280348777771,1.4013797772735865,58.280348777770996,161.28238153881318
Prophet,item,weekly,36151983,4,15,4,3.1060557468050134,3.167844245120976,205.58699389186322,175.34437703723268
Naive,item,weekly,36520987,4,19,4,1.5,1.7320508075688772,33.33333333333333,83.33333333333333
SeasonalNaive,item,weekly,36520987,4,19,4,2.5,3.0,100.0,200.0
AutoARIMA,item,weekly,36520987,4,19,4,1.5,1.7320508075688772,33.33333333333333,83.33333333333333
AutoETS,item,weekly,36520987,4,19,4,1.5,1.6778780394961919,33.33333333333333,80.99283684107314
Prophet,item,weekly,36520987,4,19,4,1.6281566468723736,1.8474698475286226,36.53724950514267,86.39120231852964
Naive,item,weekly,45994731,4,17,4,2.0,2.345207879911715,200.0,166.66666666666669
SeasonalNaive,item,weekly,45994731,4,17,4,0.25,0.5,100.0,200.0
AutoARIMA,item,weekly,45994731,4,17,4,3.0913312435150146,3.615887731767279,319.195032119751,174.31922012254918
AutoETS,item,weekly,45994731,4,17,4,3.1800379753112793,3.7182914387046817,329.81367111206055,174.83391980930367
Prophet,item,weekly,45994731,4,17,4,3.174302320766909,3.711643437590622,329.1522792691805,174.8024645159836
Naive,item,weekly,50619137,4,17,4,3.5,4.358898943540674,65.55555555555554,42.5
SeasonalNaive,item,weekly,50619137,4,17,4,6.25,6.87386354243376,79.94949494949495,136.42857142857144
AutoARIMA,item,weekly,50619137,4,17,4,3.642136573791504,4.613458408762334,68.82269984543925,43.33832327497167
AutoETS,item,weekly,50619137,4,17,4,6.235422611236572,7.487089871237705,111.35327223575477,59.76257604864682
Prophet,item,weekly,50619137,4,17,4,2.69029725359488,2.8336240954050744,43.77217246263885,36.09450840847737
Naive,item,weekly,52993197,4,14,4,2.25,2.7838821814150108,139.82142857142856,51.248751248751255
SeasonalNaive,item,weekly,52993197,4,14,4,3.5,3.6742346141747673,136.3392857142857,82.1969696969697
AutoARIMA,item,weekly,52993197,4,14,4,2.25,2.683091384531392,119.84693718808037,52.94177975287686
AutoETS,item,weekly,52993197,4,14,4,2.25,2.683190905501092,119.78954366275244,52.946380738933854
Prophet,item,weekly,52993197,4,14,4,2.4344852984143825,3.6139189666952105,185.36146015483044,49.917883911379
Naive,item,weekly,60476740,4,23,4,0.75,0.8660254037844386,25.0,116.66666666666666
SeasonalNaive,item,weekly,60476740,4,23,4,0.75,1.118033988749895,100.0,200.0
AutoARIMA,item,weekly,60476740,4,23,4,1.5326199531555176,1.742533764833578,71.19649648666382,122.83614345866533
AutoETS,item,weekly,60476740,4,23,4,1.5260863304138184,1.736789980932125,70.70647478103638,122.70403340830592
Prophet,item,weekly,60476740,4,23,4,1.4251178276279715,1.6956628208252558,61.724597722576966,119.12949910202586
Naive,item,weekly,63236164,4,15,4,2.25,2.3979157616563596,125.0,135.0
SeasonalNaive,item,weekly,63236164,4,15,4,1.75,2.179449471770337,75.0,166.66666666666669
AutoARIMA,item,weekly,63236164,4,15,4,0.966176450252533,1.0770399742819075,35.25735139846802,116.90739255527775
AutoETS,item,weekly,63236164,4,15,4,0.9815090894699097,1.0935697679523952,36.57545447349548,117.15249628400156
Prophet,item,weekly,63236164,4,15,4,0.9375089430956585,1.034094947125533,35.1427455450528,117.51476979831743
Naive,item,weekly,65407346,4,20,4,0.0,0.0,,
SeasonalNaive,item,weekly,65407346,4,20,4,0.25,0.5,,200.0
AutoARIMA,item,weekly,65407346,4,20,4,0.6375000476837158,0.7361215964556206,,200.0
AutoETS,item,weekly,65407346,4,20,4,0.6360239386558533,0.734417203948523,,200.0
Prophet,item,weekly,65407346,4,20,4,0.6868670572666007,0.7931345337331239,,200.0
Naive,item,weekly,70760906,4,23,4,0.0,0.0,,
SeasonalNaive,item,weekly,70760906,4,23,4,0.0,0.0,,
AutoARIMA,item,weekly,70760906,4,23,4,0.7163543701171875,0.8174638605441502,,200.0
AutoETS,item,weekly,70760906,4,23,4,0.7023847699165344,0.7023847710126164,,200.0
Prophet,item,weekly,70760906,4,23,4,1.452270028555328,1.4527534398003736,,200.0
Naive,item,weekly,73632248,4,21,4,0.75,1.5,100.0,200.0
SeasonalNaive,item,weekly,73632248,4,21,4,0.75,1.5,100.0,200.0
AutoARIMA,item,weekly,73632248,4,21,4,1.711885929107666,1.7267110769287595,44.513460000356034,164.31424868045104
AutoETS,item,weekly,73632248,4,21,4,1.3329553604125977,1.363994684969707,61.13631327946981,172.01306717518943
Prophet,item,weekly,73632248,4,21,4,1.7148826366931473,1.730100867226509,44.436404365288325,164.28239177166878
Naive,item,weekly,75244438,4,23,4,1.25,1.8027756377319946,100.0,200.0
SeasonalNaive,item,weekly,75244438,4,23,4,1.5,1.8708286933869707,50.0,150.0
AutoARIMA,item,weekly,75244438,4,23,4,1.25,1.2990836214867902,47.46376574039459,131.7414945841798
AutoETS,item,weekly,75244438,4,23,4,1.25,1.299099496585777,47.39054640134175,131.6794344992641
Prophet,item,weekly,75244438,4,23,4,1.2166723581552525,1.3437931734100539,64.64080836897324,148.23951510990426
Naive,item,weekly,78425734,4,23,4,0.75,1.118033988749895,22.22222222222222,75.0
SeasonalNaive,item,weekly,78425734,4,23,4,1.25,1.6583123951777,100.0,155.55555555555557
AutoARIMA,item,weekly,78425734,4,23,4,0.7911745309829712,1.0971101644624932,27.522986465030247,77.90825808955566
AutoETS,item,weekly,78425734,4,23,4,0.8379087448120117,1.1699660456857524,35.89691585964627,88.0862910603471
Prophet,item,weekly,78425734,4,23,4,1.0349012406463738,1.1269754034271757,55.14907220144482,87.78240297899052
Naive,item,weekly,79387131,4,23,4,1.75,1.9364916731037085,70.83333333333333,155.0
SeasonalNaive,item,weekly,79387131,4,23,4,11.75,12.338962679253067,358.3333333333333,164.1711229946524
AutoARIMA,item,weekly,79387131,4,23,4,2.6033430099487305,3.1567222317481605,26.972504456837974,111.31720922438357
AutoETS,item,weekly,79387131,4,23,4,1.75,2.1414550508479615,23.177056511243187,114.61989956958271
Prophet,item,weekly,79387131,4,23,4,2.793722675484311,3.3566732252805886,33.315814853579134,113.32619384426144
Naive,item,weekly,81525446,4,23,4,2.5,2.7386127875258306,53.333333333333336,106.42857142857143
SeasonalNaive,item,weekly,81525446,4,23,4,3.75,4.2130748865881795,100.0,200.0
AutoARIMA,item,weekly,81525446,4,23,4,2.1417391300201416,2.4482922421463704,33.918842209710014,83.15581263545882
AutoETS,item,weekly,81525446,4,23,4,2.4198014736175537,2.6541544109003636,49.590729872385666,101.48941839149708
Prophet,item,weekly,81525446,4,23,4,2.1315103101804906,2.443947808835252,33.3998078097929,82.60815108165977
Naive,item,weekly,99028517,4,23,4,0.75,0.8660254037844386,0.0,150.0
SeasonalNaive,item,weekly,99028517,4,23,4,0.25,0.5,100.0,200.0
AutoARIMA,item,weekly,99028517,4,23,4,1.9036955833435059,1.975820831952178,99.65217113494873,166.62797415375147
AutoETS,item,weekly,99028517,4,23,4,1.28142249584198,1.3526062215388683,53.142249584198,160.49651918466543
Prophet,item,weekly,99028517,4,23,4,1.98207553912431,2.052889610077852,106.6187436408232,167.38620776649546
Naive,item,weekly,9973708,4,20,4,0.5,0.7071067811865476,16.666666666666664,66.66666666666666
SeasonalNaive,item,weekly,9973708,4,20,4,0.5,0.7071067811865476,50.0,88.88888888888889
AutoARIMA,item,weekly,9973708,4,20,4,0.6750000715255737,0.7889866934138914,45.83333532015483,96.68382175581016
AutoETS,item,weekly,9973708,4,20,4,0.6595839858055115,0.7758016193708339,32.62506524721782,74.01824041067046
Prophet,item,weekly,9973708,4,20,4,0.6683279601802878,0.8158671281137,30.662414828747288,72.28050504930013
Naive,item,weekly,99864238,4,21,4,0.0,0.0,,
SeasonalNaive,item,weekly,99864238,4,21,4,1.75,2.29128784747792,,200.0
AutoARIMA,item,weekly,99864238,4,21,4,0.7142857313156128,0.7142857108797346,,200.0
AutoETS,item,weekly,99864238,4,21,4,0.7195196747779846,0.7195196591913028,,200.0
Prophet,item,weekly,99864238,4,21,4,0.19427539973185864,0.20864200965210192,,200.0
