model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
SeasonalNaive,category,daily,Обувь,14,168,14,2762.28564453125,3213.214434176468,13.971982680251763,12.74324344689585
AutoARIMA,category,daily,Обувь,14,168,14,879.1838989257812,1022.2739358899844,4.411815071490883,4.332815748749889
AutoETS,category,daily,Обувь,14,168,14,1531.5584716796875,1962.822139165951,7.895708010706455,7.406240080874062
Prophet,category,daily,Обувь,14,168,14,5609.70342127241,5799.69844304234,28.119939395324295,24.39013802808001
Naive,category,daily,Одежда,14,168,14,3266.71435546875,3788.3747174745004,4.215542746459259,4.321251708260601
SeasonalNaive,category,daily,Одежда,14,168,14,7291.71435546875,8625.753532300816,9.612381681078228,9.041631429726806
AutoARIMA,category,daily,Одежда,14,168,14,3119.545166015625,4119.251873823692,4.036190093638789,4.1593220463934175
AutoETS,category,daily,Одежда,14,168,14,2902.525146484375,3532.2456030123385,3.8447835891597317,3.7904530592903107
Prophet,category,daily,Одежда,14,168,14,11789.760887956929,12222.613679091142,15.570459739499896,14.36208613553995
Naive,category,daily,Спорт и отдых,14,168,14,32.85714340209961,39.43167733858623,17.24435216019984,19.460388924450992
SeasonalNaive,category,daily,Спорт и отдых,14,168,14,21.85714340209961,32.12920426343551,11.919280043426465,11.753909609793187
AutoARIMA,category,daily,Спорт и отдых,14,168,14,20.62928581237793,24.603604234107525,12.270961273608586,11.479401583556914
AutoETS,category,daily,Спорт и отдых,14,168,14,17.713693618774414,22.843255701731476,9.990072919635791,9.89537749797468
Prophet,category,daily,Спорт и отдых,14,168,14,23.73430394455924,27.58517104686983,13.658257533535387,13.0310137869366
Naive,category,daily,"Туризм, рыбалка, охота",14,168,14,32.14285659790039,43.02490932315401,17.222124333989168,19.113006143499053
SeasonalNaive,category,daily,"Туризм, рыбалка, охота",14,168,14,60.71428680419922,70.0,33.660390477787686,42.6729716305876
AutoARIMA,category,daily,"Туризм, рыбалка, охота",14,168,14,45.94517135620117,54.256090797917565,24.92469218699301,29.35660413056572
AutoETS,category,daily,"Туризм, рыбалка, охота",14,168,14,48.093318939208984,56.55296881022251,26.008917034614615,30.85308615700143
Prophet,category,daily,"Туризм, рыбалка, охота",14,168,14,59.802698566125464,68.04450535758319,32.60768460796478,40.40259201389338
Naive,category,weekly,Ozon fresh,4,23,4,5760.5,7627.882274917462,119.95312760945987,48.68040577902393
SeasonalNaive,category,weekly,Ozon fresh,4,23,4,6658.0,7222.598147481279,62.74844028799584,71.70201786907661
AutoARIMA,category,weekly,Ozon fresh,4,23,4,4701.15966796875,6379.438846795226,101.4409192027131,43.520337607456426
AutoETS,category,weekly,Ozon fresh,4,23,4,5760.4921875,7627.876244407745,119.95302829239769,48.68036620951406
Prophet,category,weekly,Ozon fresh,4,23,4,4247.118913323049,5947.314193404329,92.04197788838655,41.14248678092135
Naive,category,weekly,Аксессуары,4,23,4,24730.0,46711.22383325019,59.259863034639395,27.948621010165496
SeasonalNaive,category,weekly,Аксессуары,4,23,4,33998.0,37103.24276933217,51.66681505089845,37.39070631428155
AutoARIMA,category,weekly,Аксессуары,4,23,4,24730.0,46711.22383325019,59.259863034639395,27.948621010165496
AutoETS,category,weekly,Аксессуары,4,23,4,24517.4140625,46488.54172804305,58.911742707393444,27.812104647572962
Prophet,category,weekly,Аксессуары,4,23,4,31306.906107738476,51597.862516847796,68.11924287480032,32.26066764896275
Naive,category,weekly,Аптека,4,23,4,47.0,75.60092592025576,59.4271669600048,30.65420770500431
SeasonalNaive,category,weekly,Аптека,4,23,4,48.5,62.54198589747531,47.51518091462574,32.438382900300695
AutoARIMA,category,weekly,Аптека,4,23,4,56.89130401611328,70.25623443198832,57.79563988382127,36.23123748881113
AutoETS,category,weekly,Аптека,4,23,4,49.47132110595703,72.97845224576567,58.39749504499612,32.08029259706217
Prophet,category,weekly,Аптека,4,23,4,48.450232691768,75.50362932563691,59.57314157320719,31.390643652730375
Naive,category,weekly,Детские товары,4,23,4,78.25,101.43594037618027,59.45903135565563,35.78762873352173
SeasonalNaive,category,weekly,Детские товары,4,23,4,112.5,124.34428012578624,75.36858594874425,46.19161700675847
AutoARIMA,category,weekly,Детские товары,4,23,4,78.25,102.14460108713529,59.86673179364217,35.746806087551136
AutoETS,category,weekly,Детские товары,4,23,4,78.25,102.17931446573469,59.886256044520906,35.744840829685856
Prophet,category,weekly,Детские товары,4,23,4,77.63743871258863,95.98688500368512,55.84544070394794,35.89450966944485
Naive,category,weekly,Дом и сад,4,23,4,39.75,57.74296493946254,53.32369848075449,30.884608839413858
SeasonalNaive,category,weekly,Дом и сад,4,23,4,49.0,65.4408129533856,61.99732215299644,35.14236753581067
AutoARIMA,category,weekly,Дом и сад,4,23,4,40.59782409667969,66.99525184318102,60.298073445556355,30.43288101158252
AutoETS,category,weekly,Дом и сад,4,23,4,40.60846710205078,67.00715621763842,60.31032101611068,30.43764945903628
Prophet,category,weekly,Дом и сад,4,23,4,36.44819769681977,62.38835739188437,55.365372700632754,28.54277725089235
Naive,category,weekly,Обувь,4,23,4,45514.5,67157.43413800144,90.0149099934194,39.412477317555414
SeasonalNaive,category,weekly,Обувь,4,23,4,65419.25,68825.38694406302,59.7559919339413,64.86516455267117
AutoARIMA,category,weekly,Обувь,4,23,4,56539.7265625,78075.12771683438,105.60646589136348,44.66875697057049
AutoETS,category,weekly,Обувь,4,23,4,45515.3125,67157.98686679047,90.01582415411175,39.41291078855338
Prophet,category,weekly,Обувь,4,23,4,64054.19834058116,84095.0235813307,114.51837769801165,48.244536963656536
Naive,category,weekly,Одежда,4,23,4,137376.5,219002.9128573408,74.08162742883682,34.21867246423241
SeasonalNaive,category,weekly,Одежда,4,23,4,211792.0,215088.72781250067,59.53386829496261,55.93059914036145
AutoARIMA,category,weekly,Одежда,4,23,4,165632.578125,247950.36406506848,84.92809790094577,38.15652419589698
AutoETS,category,weekly,Одежда,4,23,4,165351.9375,247893.62157183472,84.87671926146282,38.11066407476195
Prophet,category,weekly,Одежда,4,23,4,164864.83850065008,247548.94935876585,84.72791611931243,38.039698427582586
Naive,category,weekly,Спорт и отдых,4,23,4,341.0,500.93263020090836,65.16968590380709,34.32480394088899
SeasonalNaive,category,weekly,Спорт и отдых,4,23,4,325.5,435.04195200003414,58.18697090311642,33.71852482271747
AutoARIMA,category,weekly,Спорт и отдых,4,23,4,330.6981506347656,488.911514233404,63.57548382785965,33.67127549365665
AutoETS,category,weekly,Спорт и отдых,4,23,4,320.923828125,486.12377860479114,62.68513932264095,32.984351835062775
Prophet,category,weekly,Спорт и отдых,4,23,4,297.8068788099367,457.5789427953514,58.896716261101055,31.500892693619726
Naive,category,weekly,"Туризм, рыбалка, охота",4,23,4,324.5,357.65206556093034,35.54477400793789,41.49772546332724
SeasonalNaive,category,weekly,"Туризм, рыбалка, охота",4,23,4,823.5,863.5418345395897,93.50417463276548,176.25749084846234
AutoARIMA,category,weekly,"Туризм, рыбалка, охота",4,23,4,323.89715576171875,347.75561641762164,37.26150458537922,41.41529995398025
AutoETS,category,weekly,"Туризм, рыбалка, охота",4,23,4,333.4824523925781,359.75605884404507,37.4708333986572,42.92990983195311
Prophet,category,weekly,"Туризм, рыбалка, охота",4,23,4,342.54392766596607,366.7150550475365,38.765730005571776,44.34875545009509
Naive,item,daily,12282978,14,71,14,0.0,0.0,,
SeasonalNaive,item,daily,12282978,14,71,14,0.0,0.0,,
AutoARIMA,item,daily,12282978,14,71,14,0.2112676054239273,0.24997519578669483,,200.0
AutoETS,item,daily,12282978,14,71,14,0.21168281137943268,0.2504664777818062,,200.0
Prophet,item,daily,12282978,14,71,14,0.1236684229507901,0.17541768752383605,,200.0
Naive,item,daily,15522509,14,70,14,0.2857142984867096,0.5345224957723572,100.0,200.0
SeasonalNaive,item,daily,15522509,14,70,14,0.2857142984867096,0.5345224957723572,100.0,200.0
AutoARIMA,item,daily,15522509,14,70,14,0.4265305697917938,0.45378232830259163,67.14285612106323,171.73579042904515
AutoETS,item,daily,15522509,14,70,14,0.727455198764801,0.8380787956024166,131.79761823266745,200.0
Prophet,item,daily,15522509,14,70,14,0.38287799117912824,0.42519578185610907,60.63654739960975,168.31057434299714
Naive,item,daily,16295780,14,32,14,1.2857142686843872,1.5118579258295657,92.85714285714286,166.66666666666666
SeasonalNaive,item,daily,16295780,14,32,14,1.2857142686843872,1.5118579258295657,89.28571428571429,166.66666666666666
AutoARIMA,item,daily,16295780,14,32,14,1.2522321939468384,1.4828587065593184,87.83482142857143,165.0356635607373
AutoETS,item,daily,16295780,14,32,14,1.2523103952407837,1.482890139316869,87.84654906817845,165.0404069648637
Prophet,item,daily,16295780,14,32,14,1.2408230502011504,1.4821396523773622,85.83244054375069,164.2092193613685
Naive,item,daily,22976973,14,166,14,0.7142857313156128,1.0,100.0,200.0
SeasonalNaive,item,daily,22976973,14,166,14,0.7142857313156128,1.0690449915447144,75.0,140.74074074074073
AutoARIMA,item,daily,22976973,14,166,14,0.6488842368125916,0.762057106966971,63.3731946349144,139.76513244633085
AutoETS,item,daily,22976973,14,166,14,0.6562377214431763,0.7646103577857456,64.44560699164867,140.81955148394258
Prophet,item,daily,22976973,14,166,14,0.6319959563153505,0.746476114700294,53.368177472954905,130.222045751207
Naive,item,daily,25222559,14,162,14,0.1428571492433548,0.3779644814573914,100.0,200.0
SeasonalNaive,item,daily,25222559,14,162,14,0.1428571492433548,0.3779644814573914,100.0,200.0
AutoARIMA,item,daily,25222559,14,162,14,0.19799895584583282,0.35019283517194244,90.32369181513786,194.57113634320967
AutoETS,item,daily,25222559,14,162,14,0.1943889558315277,0.35485331738708403,91.98394268751144,195.433124973377
Prophet,item,daily,25222559,14,162,14,0.1993652027963008,0.35435893445604155,91.10023488767925,195.03680895718566
Naive,item,daily,26735764,14,50,14,1.2857142686843872,1.5118579258295657,95.23809523809523,160.0
SeasonalNaive,item,daily,26735764,14,50,14,1.1428571939468384,1.5118579258295657,76.1904761904762,150.0
AutoARIMA,item,daily,26735764,14,50,14,1.1885713338851929,1.4911548976198545,82.28571528480167,154.32402905634828
AutoETS,item,daily,26735764,14,50,14,1.258789300918579,1.5542250669141415,87.26636114574615,158.29597766464718
Prophet,item,daily,26735764,14,50,14,1.1745389595291307,1.4963305222058811,80.48876513682724,152.94778227104604
Naive,item,daily,30226002,14,19,14,1.0,1.0690449915447144,83.33333333333333,159.52380952380952
SeasonalNaive,item,daily,30226002,14,19,14,1.0,1.0690449915447144,83.33333333333333,157.61904761904762
AutoARIMA,item,daily,30226002,14,19,14,0.9022555947303772,0.9410818657020964,81.70426062175206,152.96042001819183
AutoETS,item,daily,30226002,14,19,14,1.28193199634552,1.3870081639836866,102.47458237267675,189.0153874040627
Prophet,item,daily,30226002,14,19,14,1.5125463512996633,1.7257352735964129,119.3455554640946,197.84794442811688
Naive,item,daily,32541161,14,27,14,1.5,1.8322507812148563,100.0,180.95238095238096
SeasonalNaive,item,daily,32541161,14,27,14,1.6428571939468384,1.9820624265222389,114.28571428571428,184.76190476190476
AutoARIMA,item,daily,32541161,14,27,14,1.4629629850387573,1.8145718407367348,96.29629680088588,179.15057941927586
